"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
"DNAJB1",4.25390338736856e-09,0.407297222920136,0.654,0.601,5.75893440581956e-05,"DNAJB1"
"CLN8",4.29965201298195e-09,0.427079023259999,0.276,0.171,5.82086889517496e-05,"CLN8"
"CD47",4.81953415485961e-09,-0.411163995777234,0.366,0.461,6.52468533884894e-05,"CD47"
"SERPINB9",4.87676045875965e-09,0.534258157911556,0.447,0.362,6.60215830906882e-05,"SERPINB9"
"AKR1B1",5.02504088582466e-09,0.415043139608514,0.33,0.222,6.80290035122943e-05,"AKR1B1"
"DOCK4",5.19166831428999e-09,0.896603497337712,0.111,0.047,7.02848056388579e-05,"DOCK4"
"PDS5B",5.2560413405057e-09,-0.716453228631544,0.08,0.146,7.11562876677662e-05,"PDS5B"
"ZBTB43",5.41409347196102e-09,0.873011008766419,0.143,0.071,7.32959974234083e-05,"ZBTB43"
"IL10RA",5.47822393111827e-09,-0.376531851846391,0.237,0.342,7.41641955794792e-05,"IL10RA"
"MT1X",5.68746409853611e-09,0.370361027067999,0.303,0.189,7.69968889659819e-05,"MT1X"
"ARAP2",5.78925111008611e-09,-1.00360498331358,0.051,0.104,7.83748815283458e-05,"ARAP2"
"SHOC2",5.79903527583563e-09,-0.339427070334803,0.281,0.399,7.85073395642628e-05,"SHOC2"
"ATP13A3",6.01743182026260e-09,0.523547031197082,0.358,0.25,8.1463991982715e-05,"ATP13A3"
"UGP2",6.05898529659923e-09,0.661097554546475,0.346,0.258,8.20265429453603e-05,"UGP2"
"ENG",6.13030213251683e-09,0.894371453610015,0.221,0.138,8.29920302700128e-05,"ENG"
"FCGR2A",6.90299896800158e-09,0.365514204618357,0.606,0.51,9.34528000288054e-05,"FCGR2A"
"VAT1",6.94763503868666e-09,0.500732878913957,0.143,0.068,9.405708315374e-05,"VAT1"
"FAM13A",7.55167910718683e-09,-0.733294335425182,0.058,0.115,0.000102234631753095,"FAM13A"
"LMO2",8.06865580295583e-09,-0.90053470075379,0.074,0.135,0.000109233462260416,"LMO2"
"NEK6",8.36008274205132e-09,0.672587186714572,0.177,0.099,0.000113178800161891,"NEK6"
"CCDC69",8.53748155332669e-09,-0.559264413199701,0.128,0.208,0.000115580425268937,"CCDC69"
"CHN2",9.05827101438617e-09,-0.705577495951956,0.066,0.127,0.00012263087299276,"CHN2"
"ATM",9.16941857639731e-09,-0.500814726105405,0.136,0.218,0.000124135588687267,"ATM"
"NUDT14",9.37392129309942e-09,0.62032062796916,0.172,0.092,0.00012690414646598,"NUDT14"
"SLC3A2",9.52904475666165e-09,0.353133428753231,0.38,0.269,0.000129004207915685,"SLC3A2"
"PPP1CA",9.65321714758827e-09,-0.276584657072014,0.551,0.635,0.00013068525374405,"PPP1CA"
"LYST",1.0704355866904e-08,-0.464850519778728,0.188,0.28,0.000144915569726146,"LYST"
"LGALS2",1.09732927244835e-08,-0.436996357232881,0.272,0.369,0.000148556436904058,"LGALS2"
"HMOX1",1.16985005588521e-08,0.642184140471356,0.356,0.271,0.00015837430056574,"HMOX1"
"PEA15",1.24463436343719e-08,0.654003129018517,0.335,0.25,0.000168498600122126,"PEA15"
"EGR3",1.29301381380215e-08,-0.54440178592424,0.075,0.138,0.000175048210112534,"EGR3"
"SULT1A1",1.30398978872639e-08,-0.776499203216511,0.113,0.182,0.000176534137597778,"SULT1A1"
"CENPC",1.33255605059676e-08,-0.676291477724122,0.089,0.156,0.00018040143812979,"CENPC"
"FPR1",1.49182070999975e-08,0.376344347283573,0.523,0.417,0.000201962687719767,"FPR1"
"LDLR",1.62112160776025e-08,-0.336826234325252,0.098,0.17,0.000219467443258582,"LDLR"
"TFDP2",1.70545825699388e-08,-0.684694057916212,0.122,0.195,0.000230884938831832,"TFDP2"
"TMEM123",1.80727441046969e-08,-0.34995374590947,0.403,0.521,0.000244668809689387,"TMEM123"
"SNX6",2.01258493393759e-08,-0.381085273070275,0.352,0.454,0.00027246374835647,"SNX6"
"MYD88",2.12268458806975e-08,-0.493125370026355,0.159,0.245,0.000287369039532883,"MYD88"
"CHMP1B",2.27304082892972e-08,-0.252397588294901,0.606,0.687,0.000307724267420505,"CHMP1B"
"FCER1A",2.27316189923952e-08,-0.839705751827403,0.145,0.217,0.000307740657919047,"FCER1A"
"SLC25A3",2.45268048318353e-08,-0.26240346811874,0.603,0.68,0.000332043883813387,"SLC25A3"
"ARHGAP9",2.55797424622691e-08,-0.630770724660056,0.103,0.173,0.000346298553454198,"ARHGAP9"
"GALM",2.58590806847566e-08,0.65973625230015,0.152,0.08,0.000350080234310234,"GALM"
"GCHFR",2.9592342806854e-08,0.634180589847011,0.177,0.1,0.000400621136919189,"GCHFR"
"KLF4",3.15240755300806e-08,-0.318614992500287,0.423,0.527,0.000426772934526231,"KLF4"
"C3ORF58",3.26240214384772e-08,-0.562566756978396,0.082,0.146,0.000441664002234105,"C3ORF58"
"TRIM38",3.33262465892667e-08,-0.292211320068979,0.188,0.283,0.000451170726325492,"TRIM38"
"NME1",3.61167853962193e-08,0.494261214088523,0.294,0.203,0.000488949040694016,"NME1"
"IFI44L",3.70116354275514e-08,-0.54856086052849,0.118,0.19,0.00050106352041819,"IFI44L"
"TM6SF1",3.80878870625205e-08,0.661769502464634,0.169,0.095,0.000515633815052402,"TM6SF1"
"NOTCH2",4.05521662256511e-08,-0.62979932304023,0.104,0.173,0.000548995226362865,"NOTCH2"
"BAZ2B",4.08798176207754e-08,-0.35460502989255,0.188,0.279,0.000553430970950057,"BAZ2B"
"DOK2",4.13016708609585e-08,-0.355202083229366,0.295,0.394,0.000559142020115656,"DOK2"
"IFT20",4.77728075338126e-08,-0.421862183538266,0.184,0.271,0.000646748268392755,"IFT20"
"SDC4",5.14901770637289e-08,0.917519290647901,0.143,0.075,0.000697074017088762,"SDC4"
"PPT1",5.26169509308677e-08,0.334844757413052,0.53,0.455,0.000712328281702087,"PPT1"
"PTGER4",5.40076268146232e-08,-0.444595748638891,0.169,0.251,0.000731155251816369,"PTGER4"
"MARCH7",6.35594507371971e-08,-0.452990904454734,0.125,0.2,0.000860467844080175,"MARCH7"
"KLF7",6.57827950237014e-08,-0.814457396512439,0.087,0.147,0.000890567479030869,"KLF7"
"TUBA1C",7.14338719099492e-08,0.380737096173304,0.362,0.263,0.000967071757916892,"TUBA1C"
"CFD",7.5704229302189e-08,-0.40911018300377,0.406,0.48,0.00102488385629304,"CFD"
"TMEM107",7.67735777868442e-08,-0.576099120864256,0.14,0.215,0.0010393606960783,"TMEM107"
"VIMP",7.93687344559871e-08,0.350021903246601,0.408,0.3,0.00107449392706515,"VIMP"
"STX6",9.49815743783519e-08,0.928643185985245,0.143,0.078,0.00128586055393413,"STX6"
"ZNF331",9.93269134704872e-08,-0.273087886414731,0.422,0.515,0.00134468775456346,"ZNF331"
"SOAT1",1.06947256540834e-07,0.656751586875397,0.198,0.122,0.00144785195904981,"SOAT1"
"EIF1AY",1.13147171948916e-07,-0.721731496548342,0.08,0.139,0.00153178641384443,"EIF1AY"
